,sample_size,Base Distributions,GaussianRandomWalk
0,5000,29.57379007339477,71.62891292572021
1,10000,32.17189693450928,67.72854995727539
2,20000,33.78678512573242,150.5351481437683
3,5000,30.87617516517639,95.31684398651124
4,10000,50.645094871521,154.97924709320068
5,20000,54.77898383140564,44.038649797439575
6,5000,28.724236965179443,65.33901715278625
7,10000,38.625235080718994,139.71712923049927
8,20000,73.97424387931824,105.85811686515808
9,5000,33.942153215408325,86.78322386741638
10,10000,35.39916491508484,222.3576009273529
11,20000,35.52191114425659,95.00578093528748
12,5000,29.01408219337464,119.05671000480652
13,10000,49.95457220077515,133.92460322380066
14,20000,50.72970795631409,161.50623893737793
15,5000,26.671561002731323,63.29238104820252
16,10000,62.72369694709778,74.62970018386841
17,20000,34.22997307777405,111.5313160419464
18,5000,29.886393785476685,63.859153032302856
19,10000,32.86329388618469,83.31448483467102
20,20000,37.87125492095947,124.59946489334106
21,5000,28.81507682800293,58.011873960495
22,10000,40.22527194023132,184.74461793899536
23,20000,40.7613639831543,99.96129894256592
24,5000,30.177177906036377,94.19981741905212
25,10000,29.27977824211121,174.8919870853424
26,20000,57.78024697303772,74.21839714050293
27,5000,33.13597321510315,86.91752171516418
28,10000,29.143043041229248,200.23258805274963
29,20000,34.4509379863739,93.86565899848938
30,5000,27.42527198791504,103.09274315834044
31,10000,31.88104605674744,89.1318302154541
32,20000,33.47974991798401,183.4596517086029
33,5000,37.10882782936096,133.2735936641693
34,10000,30.084164142608643,106.8086519241333
35,20000,35.17642593383789,156.8381950855255
36,5000,29.002774000167847,78.3090009689331
37,10000,31.23472690582276,143.23019170761108
38,20000,44.45331311225891,134.48502111434937
39,5000,28.31792688369751,82.70265126228333
40,10000,29.723706007003784,130.03989696502686
41,20000,37.37935280799866,120.64684581756592
42,5000,45.28118801116944,81.04929304122925
43,10000,37.09222912788391,92.98255586624146
44,20000,51.94042706489563,91.73437809944151
45,5000,27.979931831359863,60.79336214065552
46,10000,30.438980102539062,134.69729208946228
47,20000,38.47291421890259,110.69975996017456
48,5000,31.01443386077881,48.95649695396423
49,10000,31.69418692588806,61.21482300758362
50,20000,37.33205103874207,126.20108890533449
51,5000,45.25732612609863,63.54971981048584
52,10000,36.29832482337952,100.51265525817873
53,20000,35.85479998588562,290.15544390678406
54,5000,28.379961013793945,86.60948395729065
55,10000,32.91786217689514,68.233815908432
56,20000,58.51528024673462,102.18676781654358
57,5000,45.74270796775818,72.72316813468933
58,10000,34.69951581954956,61.0039849281311
59,20000,37.10684013366699,93.38951897621156
60,5000,127.80408692359924,91.56467795372008
61,10000,30.13311529159546,127.05372500419617
62,20000,46.72961091995239,92.99754977226256
63,5000,53.42270588874817,85.93016004562378
64,10000,41.96764087677002,82.5242908000946
65,20000,35.292688846588135,259.5619468688965
66,5000,30.507040977478027,161.8249430656433
67,10000,35.04404401779175,111.10211205482484
68,20000,62.5665500164032,111.02425003051758
69,5000,29.14510488510132,65.06331586837769
70,10000,36.981794118881226,96.61251521110536
71,20000,42.60389304161072,135.67577290534973
72,5000,27.82469296455384,112.8857889175415
73,10000,38.21101427078247,105.79906582832336
74,20000,52.334163188934326,79.60352993011475
75,5000,28.72625184059143,64.65403604507446
76,10000,33.26452207565308,63.53641390800476
77,20000,47.818021059036255,63.54906392097473
78,5000,31.965601921081543,90.52982306480408
79,10000,32.37401294708252,75.22668075561523
80,20000,40.95657014846802,78.54615926742554
81,5000,29.516632795333862,159.5130317211151
82,10000,44.86651611328125,97.2663140296936
83,20000,39.43230628967285,66.1669659614563
84,5000,28.541277170181274,65.05305600166321
85,10000,29.04164719581604,107.42004489898682
86,20000,35.023375034332275,93.94233131408691
87,5000,30.194966077804565,93.99613428115843
88,10000,32.25101017951965,114.31547284126282
89,20000,55.35835194587708,73.85187411308289
